Latitude,Longitude
39.86902252,-105.0593041
39.86880019,-105.0591968
39.86854904,-105.0590788
39.86826906,-105.0589501
39.86795203,-105.0587999
39.86737784,-105.0585788
39.86648587,-105.0581261
39.86562742,-105.0577359
39.86462615,-105.0572834
39.86385909,-105.0569251
39.86315656,-105.0565718
39.8624648,-105.0562606
39.86184204,-105.0559816
39.86125732,-105.0556597
39.86064513,-105.0554254
39.86005217,-105.0551465
39.85948391,-105.0548783
39.85887035,-105.0545725
39.8583529,-105.054294
39.85764462,-105.0539292
39.85680456,-105.053425
39.85603743,-105.0529696
39.85538266,-105.0525029
39.85464418,-105.0519836
39.85393174,-105.0514418
39.85284685,-105.0505732
39.85213851,-105.0499187
39.8513025,-105.0491516
39.85054884,-105.0483898
39.84972176,-105.0475398
39.84870863,-105.0465045
39.84785412,-105.0456363
39.84710897,-105.0448537
39.84605461,-105.0437862
39.84480206,-105.0425157
39.84399067,-105.0417003
39.8435095,-105.041206
39.84306879,-105.0407446
39.84255806,-105.0402136
39.84230772,-105.039919
39.84196174,-105.0395166
39.84154161,-105.0390231
39.84113796,-105.038492
39.84056318,-105.0375954
39.8402419,-105.037059
39.83987943,-105.0364582
39.83947577,-105.0356964
39.83912153,-105.0349561
39.83888263,-105.0344412
39.83861901,-105.0337652
39.83823181,-105.0326602
39.83802411,-105.0320449
39.83780992,-105.0312456
39.83748039,-105.0300601
39.83709044,-105.028605
39.83669499,-105.0272961
39.8363737,-105.026073
39.83615126,-105.0253435
39.83586291,-105.0243242
39.83542044,-105.0227821
39.83495085,-105.0210762
39.8345142,-105.0196063
39.83413409,-105.0183303
39.83381278,-105.017134
39.83319815,-105.0151236
39.83261731,-105.0130208
39.83205294,-105.0110735
39.83139403,-105.0087617
39.83082554,-105.006852
39.83034732,-105.0052395
39.82995184,-105.0038555
39.82937258,-105.0018758
39.82896886,-105.0003952
39.828664,-104.999258
39.82830971,-104.997992
39.82806008,-104.9971405
39.82769588,-104.9956074
39.82752286,-104.9944004
39.82747342,-104.9932738
39.82746562,-104.9921352
39.82744914,-104.9911697
39.82744914,-104.9899895
39.82745738,-104.9885411
39.82746027,-104.9886162
39.82745612,-104.9885758
